	imageID	pred	ground
52	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_209.jpg	[1]	[1]
53	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_213.jpg	[1]	[1]
54	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_217.jpg	[0]	[1]
55	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_221.jpg	[1]	[1]
56	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_225.jpg	[1]	[1]
57	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_229.jpg	[1]	[1]
58	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_233.jpg	[1]	[1]
59	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_237.jpg	[1]	[1]
60	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_241.jpg	[1]	[1]
61	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_245.jpg	[1]	[1]
62	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_249.jpg	[1]	[1]
63	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_253.jpg	[1]	[1]
64	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_257.jpg	[1]	[1]
65	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_261.jpg	[1]	[1]
66	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_265.jpg	[1]	[1]
67	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_269.jpg	[1]	[1]
68	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_273.jpg	[1]	[1]
69	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_277.jpg	[1]	[1]
70	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_281.jpg	[1]	[1]
71	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_285.jpg	[1]	[1]
72	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_289.jpg	[1]	[1]
73	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_293.jpg	[1]	[1]
74	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_297.jpg	[1]	[1]
75	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_301.jpg	[1]	[1]
76	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_305.jpg	[1]	[1]
77	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_309.jpg	[1]	[1]
78	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_313.jpg	[1]	[1]
79	E:/Projects/2020_lesion/stim/animate_inanimate\inanimate\im_317.jpg	[1]	[1]
